Arun-Kumar-2322,"['Deepesh-Kumar-18', 'Ashwin-Venkataraman-6', 'Mohnish-Manohar', 'Giridhar-Ravi-2', 'Abhishek-Balaji-2', 'Venkatesan-Kannan', 'Ramesh-Balaji-10', 'Jayanth-KN-1', 'Vijay-Krish-14', 'Vinith-Subbiah', 'Ajay-Yeshwanth', 'Kayal-Manivannan', 'Binoy-John-6', 'Kumar-Saketh', 'Harish-Ram-2', 'Ajay-Vincent-1', 'Mohan-Raj-144', 'Shanmugasundaram-Muthuswamy', 'Anand-Siva', 'Sabarish-Krish', 'Sempon-Sibi', 'Shanmuga-Sundaram-48', 'Kobi-Mugas', 'Kartik-Ravi-3', 'Anand-Krishnan-11', 'Rishi-Poddar', 'John-Savio-3', 'Sarath-Haridas', 'Shafeeq-Ahamed-A-M-1', 'Bharath-Kumar-663', 'Bharad-Waj-7']"
Swaathee-Radhakrishnan,"['Dushyanth-Kumar-1', 'Sri-Venki-1', 'Selvam-Krishnamoorthy-1', 'Thennarasu-Rajendran-1', 'Lakshmi-Ramasubramanian', 'Aayush-Bahuguna', 'Sahana-P-Samy', 'Mohan-Sundaram-7', 'Jude-Satish', 'Humrish-Bathri', 'Meena-Kalyani', 'Sampath-Kumar-116', 'Sneha-Kan', 'Shreyasee-Nandy', 'Venkatesan-Kannan', 'Shanmugasundaram-Muthuswamy', 'Viswanath-Ganesan-1', 'Sahil-Banga-2', 'Layamrudhaa-Venkatesan', 'Ksheeraja-Mukkala', 'Radha-Kannazhagan', 'Sai-Sunder-S', 'Arshad-Wahid', 'Kumar-Saketh', 'Avijit-Kumar', 'Harinee-Desikan-1', 'Yokesh-Sri-Hari', 'Vijay-Bharathi-2', 'Jyothi-Narayana', 'Rajan-Sundaram', 'Saranya-Baskaran', 'Aswinraj-Srinivasan', 'Anand-Siva', 'Anand-Kr-3', 'Amudha-Pandurangan', 'Ashwin-Venkataraman-6', 'Sourav-Dutta-1', 'Abishek-Chandrasekaran', 'Sempon-Sibi', 'Sneha-R-Nair-1', 'Girish-Subramanium', 'Hardik-Modi', 'Vinitha-Venugopalan', 'Vignesh-Hegde-2', 'Vignesh-Ramesh-1', 'Vesarzini-Venkat', 'Anjana-Ganesan', 'Aishu-Ramesh-1', 'Anand-Krishnan-11', 'Seetha-Nagaraj', 'Vishnu-PS-3', 'Mohammed-Tariq-Mohamed-Ali', 'Dhayalini-Nagaraj', 'Aravindh-Bala-1', 'Santosh-Dharmarajan', 'Sarath-Haridas', 'Vishnu-Sharath', 'Sharmila-Jayakumar', 'Pradeep-Suresh-3', 'Abhishek-Aggarwal-1', 'Aishwarya-Rajagopalan-1', 'Abhishek-Gupta-131', 'Abhishek-Balaji-2', 'Shyam-Sundar-N-2', 'Badhri-Ravikumar', 'Vasanthi-Jangala-1', 'Ashwini-Baskaran-1', 'Sathya-Raj-12', 'Ravi-Loganathan']"
Chandra-Sathwick,"['Vamshi-Kaveti', 'Anirudh-Madhusudan', 'Mandala-Apuroop', 'Shankara-Narayanan-7', 'Rahul-Kumar-Reddy-2', 'Manohar-Teja-1', 'Lakshmi-Narayanan-18', 'Giridhar-Subramanian', 'Aravind-Rajagopalan-4', 'Sujith-Selvaraj', 'Harish-Darelli', 'Adhi-M-R-Kumar', 'Sumit-Tolani', 'Suryateja-Botu', 'Mahendra-Kumar-83', 'L-Manikanta', 'Sai-Kumar-Chatla', 'Venkatesan-Kannan', 'Anjishnu-Roy', 'Jayadev-Kumar', 'Pratishthit-Iyer', 'Ajay-Yeshwanth', 'Suman-Mudavath', 'Naveenraaj-KP', 'Manish-Das-20', 'Adarsh-Shree-Ram', 'Ramdasu-Bhaskar', 'Kumar-Saketh', 'Gopi-Pillai', 'Surya-Narayanan-4', 'Kiran-Nivas-Reddy', 'Dinesh-Reddy-158', 'Akhil-Girish', 'P-Rahul-Palani', 'Anand-Siva', 'Srivanth-Krishnan', 'Repaka-Saketh', 'Jaishree-Rajasekaran', 'Krishna-Sathwik-Durgaraju', 'Sempon-Sibi', 'Kalyan-Chakravarthy-95', 'Vageesh-Mohan', 'A-S-Rajavel', 'Manuel-Jenkin-1', 'Ramchander-Bhaskara', 'Ashish-Bohra-3', 'Sumit-Tolani-1', 'Suraj-Murthy', 'Anand-Krishnan-11', 'Rishi-Poddar', 'Anubhav-Moharana', 'Venkat-Ranabothu', 'Arvind-Girish', 'Ram-Kandimalla-1', 'Dinesh-Naik-15', 'Nithin-Lakshmi', 'Sarath-Haridas', 'Harnav-Gill', 'Sanjay-Srinivasan-4', 'Logesh-Babu-M', 'Siva-Prakasam-3', 'Ashwat-Amirthalingam', 'Chaithanya-Gudiwada', 'Rahman-Mehta', 'Bhargav-Niranjan', 'Ssvs-Madhavi', 'Arnab-Saha-17', 'Karsin-Kamakotti', 'Bharath-Chandra-26', 'Nitheesh-Adithyan', 'Vishnu-Vallabh-2', 'Raghavendra-Muthuru']"
Swetha-Sridharan-5,"['Dushyanth-Kumar-1', 'Narmada-Muthiah', 'Amitesh-Jain', 'Swetha-Sridharan-5', 'Sriganesh-Balakumar', 'Kannan-Ravindran', 'Ashwin-Venkataraman-6', 'Yoga-Rakshith-1', 'Hemanth-Varma-1', 'Vmdeepak-Raj', 'Arun-Kumar-378', 'Srinath-Vavilla', 'Deepika-Ravikumar', 'Abhishek-Balaji-2', 'Shaik-Tabriz', 'Karthik-Mk-5', 'Thiyagarajan-Ramamoorthy', 'Venkatesan-Kannan', 'Shanmugasundaram-Muthuswamy', 'C-Anish-Raman', 'Mona-Chelladurai', u'Jo\xe9-Austin-A-M', 'Kishan-Shah-9', 'Shailaja-Menon-1', 'Rakesh-Ramesh-12', 'Vasanthi-Jangala-1', 'Swaathee-Radhakrishnan', 'Prasanna-CS-1', 'Rudi-Rudhresh', 'Gopi-Anand-1', 'Kumar-Saketh', 'Sathyanarayan-Krishnan', 'Sowmya-Lakshmi-6', 'Vignesh-Ravi-19', 'Vinoth-Kumar-162', 'Pavithra-Murugan', 'Siva-Nandha', 'Anand-Siva', 'Prasanna-Rao-8', 'Ranchana-Rajasekar', 'Vignesh-Sekar-12', 'Subashini-Ganesan-1', 'Arshad-Wahid', 'Sempon-Sibi', 'Ilango-Karthik-1', 'Nandakumar-Sundararajan', 'Varadha-Rajan-2', 'Sathya-Prabu-1', 'Aishwarya-Muthukumaran', 'Harsha-Varun-2', 'Sri-Lekha-Ashrav', 'Vesarzini-Venkat', 'Anand-Krishnan-11', 'Aishu-Ramesh-1', 'Divya-Duraiswamy', 'Gugan-Arumugam', 'Harikrishnan-Ragothaman', 'Sapna-Jayavel', 'Swastikka-Ramasubbu', 'Ajitab-Choudhary', 'Priyan-Vaithilingam', 'Priyanka-Ravi-9', 'Sarath-Haridas', 'Vishnu-Sharath', 'Parvathi-Visvanathan', 'Hasan-Kruz-Wayne', 'Koushik-Enkay', 'Shafeeq-Ahamed-A-M-1', 'Preethi-Padmanabhan', 'Ahmed-Raza-14', 'Prashanth-Ganeshbaabu', 'Pavithra-Rammohan', 'Chidhambaram-Kasi', 'Magizhnan-Santhosh', 'Harshi-Chandrasekar', 'Aravindh-Bala-1']"
Ravikesh-Kumar,"['Murugesh-MM', 'Akhilesh-Iyer', 'Lokeshwaran-Ravi', 'Jyotishman-Paul', 'Shruthi-Shyamsunder', 'Ravi-Ranjan-71', 'Gopal-Agarwal-23', 'Divyanshu-Sah', 'Rishi-Kapoor-22', 'Neranjen-Nean', 'Adhi-M-R-Kumar', 'Tarun-Kumar-64', 'Bodhayan-Prasad', 'Mothi-Prasath', 'Indraveer-Singh-Rajawat-1', 'Ruthwik-Lakshman-Chepuri', 'Venkatesan-Kannan', 'Bhubneshwar-Paswan', 'Aqeel-Mohammed-1', 'Zishan-Alim', 'Alok-Raj-26', 'Ajay-Yeshwanth', 'Vivek-Ablaze', 'Aparnna-Suresh', 'Adarsh-Shree-Ram', 'Satrajit-Chakraborty', 'Mohit-Agarwal-154', 'Navneet-Jha-1', 'Naren-Gsv', 'Vivek-Kumar-187', 'Neerja-Sundar-Rajan', 'Megha-Sharma-52', 'Prateek-Raj-9', 'Rajesh-Kannan-5', 'Jivitesh-Kumar', 'Rajkumar-Rajendran-6', 'Anand-Pandey-6', 'Anand-Siva', 'Manish-Keshri-1', 'Sumit-Yadav-59', 'Amolak-Chandel', 'Vimal-Kumar-93', 'Sempon-Sibi', 'Varsha-Prasad-2', 'Sangeetha-Muthusamy-1', 'Hari-K-Muralidharan', 'Kishan-Mahipal', 'Kumar-Saketh', 'Balaji-Lakshminarayanan', 'Kumar-Pushpak-1', 'Anand-Krishnan-11', 'Rishi-Poddar', 'Lakshmi-Narayanan-85', 'Giridhar-Subramanian', 'Purushottam-Kumar-1', 'Pritika-Chinnasamy', 'Nitesh-Jaiswal-2', 'Vishal-Panwar', 'Asil-Zaidi', 'Sarath-Haridas', 'Karthik-Ravi-4', 'Ishan-Varma', 'Ricky-Anand', 'Gunjan-Kumar-25', 'Adarsh-Shreeram', 'Ashwat-Amirthalingam', 'Aravind-Raja-2', 'Akshay-Anand-51', 'Prateek-Sisodiya', 'Pranesh-IP', 'Reshav-Agarwal-1']"
Sanjay-Kumar-724,"['Akshay-Anand-51', 'Lokeshwaran-Ravi', 'Ojas-Rajpal', 'Sarathy-Kannan-1', 'Srijan-Deepak', 'Shubham-Trivedi-2', 'Rishi-Kapoor-22', 'Nitish-Kumar-77', 'Ruthwik-Lakshman-Chepuri', 'Venkatesan-Kannan', 'Shameem-Mahudoom-1', 'Akam-Patel', 'Ambuja-Sharma', 'Ajay-Yeshwanth', 'Vivek-Ablaze', 'Aparnna-Suresh', 'Deepak-Krishna-17', 'Adarsh-Shree-Ram', 'Kumar-Saketh', 'Pavithran-Manoharan', 'Naren-Gsv', 'Vivek-Kumar-187', 'Krishna-Kireeti-3', 'Aakash-Kumar-9', 'Shalini-Jayaraman', 'Prateek-Sisodiya', 'Apoorva-Saraf', 'Anand-Siva', 'Jayanth-Parchuri', 'Vimal-Kumar-93', 'Sempon-Sibi', 'Aditya-Anand-3', 'Arun-Mathiyalagan-1', 'Sant-Kumar-Bagri-1', 'Ashwat-Amirthalingam', 'Akarshan-Gupta-1', 'Hemanth-Shankar', 'Kumar-Pushpak-1', 'Alok-Raj-16', 'Anand-Krishnan-11', 'Lakshmi-Narayanan-166', 'Lakshmi-Narayanan-85', 'Naveenraaj-KP', 'Preeti-Nambiar-1', 'Nitesh-Jaiswal-2', 'Soumyajit-Das-18', 'Ganesh-Venkat', 'Sarath-Haridas', 'Rishi-Poddar', 'Gowtham-Srinivas', 'Ricky-Anand', 'Nikhil-Dwivedi-3', 'Adarsh-Verma-6', 'Pranesh-IP', 'Amul-Chugh', 'Suraj-Rautella-1']"
Vishwas-Kumar-2,"['Sunil-Roger', 'Gaurav-Kapri', 'Yogesh-Chandra-15', 'Abhishek-Jain-529', 'Ramya-Gokarn', 'Aameer-Ali', 'Divya-Reddy-48', 'Sumedh-Mool', 'Calistus-Mailu', 'Jaishree-Rajasekaran', 'Gourab-Das-3', 'Naveen-Kumar-Vasudevan', 'Kailash-Kanaga', 'Kollin-Prin', 'Ruthwik-Lakshman-Chepuri', 'Ankit-Agrawal-304', 'Venkatesan-Kannan', 'Shramana-Guha-Sarkar', 'Shanmugasundaram-Muthuswamy', 'Abhilash-Abhi-60', 'Akam-Patel', 'Ankita-Akhade', 'Ajay-Yeshwanth', 'Ganga-Shresthi', 'Ramakant-Yadav-10', 'Geetika-Bhatt', 'Adarsh-Shree-Ram', 'Satya-Bonthu', 'Arun-P-Lukose', 'Kumar-Saketh', 'Wang-Zhe-16', 'KartHik-PrinCe', 'Dheeresh-Chandra-Naik', 'Yasir-Mehdi', 'Lakshmi-Narayanan-166', 'Sumithra-Kumar', 'Rishabh-Trivedi-9', 'Bhavya-Shrivastwa', 'Anand-Siva', 'Prashanth-Gosala', 'Rohan-Kora', 'Sempon-Sibi', 'Kusum-Gulyani-1', 'Bhushan-Borse-2', 'Krishna-Chetty', 'K-V-Aditya-Prakash', 'Nasrin-Shahani', 'Shravya-Reddy-15', 'Sundar-Sri', 'Siddharth-Chauhan-8', 'Krishnamurthy-Mayya', 'Anand-Krishnan-11', 'Rohith-Chevvakula', 'Mahathi-Bhargavapuri', 'Naveenraaj-KP', 'Mrrinali-Gupta', 'Nitin-Kukreja', 'Raghvendra-Singh-17', 'Sarath-Haridas', 'Rishi-Poddar', 'Gowtham-Srinivas', 'Rahavee-Rao', 'Dean-Laurea', 'Andrew-Jones-77', 'Ashwat-Amirthalingam', 'Aparnna-Suresh', 'Hrithika-Maddi', 'Sanskar-Shrivastava', 'Emily-Slagstad', 'Anmol-Sharma-28']"
Bakthavatsalam-Ayalur,"['Murugesh-MM', 'Nikhil-Kumar-27', 'Roushan-Bharti', 'Vishal-Khandelwal', 'Ganesh-Shankar', 'Shruthi-Shyamsunder', 'Pushpendra-Singh-5', 'Vishwanath-Banarasi', 'Amit-k-Sarkar', 'Sushil-Kumar-1', 'Indu-Bhrit', 'Yoga-Rakshith-1', 'Recal-Uma', 'Paramasivan-Em', 'Nachammai-Lakshmanan', 'Jalandhar-Singh', 'Anand-Krishnan-11', 'Santhosh-Kumar-S-3', 'Pritika-Chinnasamy', 'Deepkant-Jain', 'Vageesh-Vedamoorthy', 'Venkatesan-Kannan', 'Balajee-Chandrasekar', 'Divya-Bharthi', 'Sarvesh-Kirthivasan', 'Ananth-Karthik', 'Ajay-Yeshwanth', 'Koushik-Krithivasan-1', 'Sridhar-Pranatharthiharan', 'Aparnna-Suresh', 'Adarsh-Shree-Ram', 'Sujith-Selvaraj', 'Kumar-Saketh', 'Raghav-Chakravarthy', 'Lakshmi-Manickam-1', 'Naren-Gsv', 'Rishikesh-Kumar-1', 'Avinash-Kumar-145', 'Vipin-Verma-13', 'Nitin-Kawale', 'Vijay-Kumar-1510', 'Anand-Siva', 'Viswesh-Sridharan', 'Jaishree-Rajasekaran', 'Abhishek-Ujjain', 'Zakir-Ahmed-17', 'Teja-Sathapathi', 'Sempon-Sibi', 'Durgalakshmi-Thiagarajan', 'Debrup-Ghosh', 'Arjun-Thiagarajan', 'Barath-Ezhilan-1', 'Mrinal-Sahani', 'Karthik-Selva', 'Ankita-Maan', 'Rishi-Poddar', 'Naveenraaj-KP', 'Manoj-Kumar-Subramaniyan', 'Aditya-Santhanam', 'Barath-Ezhilan', 'Dhamodharan-Sugumaran', 'Sarath-Haridas', 'Sanjeet-Kumar-125', 'Mohit-Asnani-1', 'Swarna-Lakshmi-Ramalingam', 'Idea-Farms', 'Manoj-Taddi', 'Ashwin-Jain-9', 'Satyaki-Dey', 'Kaushik-Krishnan-1', 'Hari-Kumar-Venkatramani', 'Adhi-M-R-Kumar', 'Lokesh-Kumar-Yadav', 'Anubhav-Yadu', 'Sruti-Ravi']"
Sudarshan-Sarathy,"['Suhas-Suresha', 'Shreeguru-Sudhindra', 'Sachin-Jaiswal-17', 'Shruthi-Shyamsunder', 'Gunaalan-SK', 'Rohit-Sridhar', 'Sandhya-Sathiamoorthy', 'Arun-Prasath-77', 'Srinath-Vavilla', 'Chandru-Dhandapani', 'Janaki-Sheth', 'Ruthwik-Lakshman-Chepuri', 'Athira-Rajiv', 'Naveen-Raaj-1', 'Aparna-M-Sundaram', 'Siddharth-Santosh-1', 'Lakshmi-Kanth-7', 'Vaishali-Venkatesh-Prasad', 'Rajaram-Suresh', 'Vinod-Kumar-Varala', 'Prabu-Selvaraj-S', 'Gowtham-Venkatraman', 'Karthikeyan-SD', 'Mahadevan-Vaidyanathan-1', 'Mukesh-Kela', 'Uthra-Eevunni', 'Priya-Sridharan-2', 'Jason-Ryan-Picardo', 'Ipsita-Ghosh', 'Manikandan-Srinivasan', 'Athreya-Shankar-1', 'Mahesh-Sunkula', 'Swapnil-Basak', 'Anish-Dhamodaran', 'Balaji-Anand', 'Varadha-Rajan-2', 'Rama-Raghavan', 'Vegnesh-Jayaraman', 'Kavya-Rajendran-1', 'Anshul-Singhal-4', 'Madhu-Balaji', 'Rahul-Swamy-2', 'Anand-Krishnan-11', 'Pavan-Nemani', 'Saksham-Saxena-5', 'Pragathi-Praveena', 'Shreenidhi-Vasudevan', 'Vinay-Iyer-4', 'Ashwin-Pananjady', 'Msvs-Prasad', 'Akshay-Suresh-4', 'Brian-Solomon-5', 'Varun-Krishna-Ramachandran', 'Praveen-Kumar-380', 'Oshin-Katulkar', 'Aparna-Garimella-2', 'Niranjan-Ravindran', 'Bhat-Vishwajith', 'T-t-Narendran', 'Sriram-Sundaram-1', 'Jessica-Bernard-1', 'Ayan-Mallik', 'Gowri-Kurup', 'Vivek-Kumar-Bagaria', 'Arun-Balan-3', 'Sreenidhi-Ramanujam', 'Sainath-Batthala', 'Poorvaj-Venkatraman', 'Mayank-NK-Choudhary', 'Adhi-M-R-Kumar', 'Vishakh-Hegde', 'Keshav-Kumar-1', 'Akshay-Gulati-2', 'Venkatesan-Kannan', 'Chandru-Rams-1', 'Manali-Naik', 'Rushina-Shah', 'Nithin-Rajendran', 'Jason-Picardo-1', 'Sidharth-Ganesh', 'Sri-Krishna-56', 'Soumya-Mittal', 'Lalith-Kishore-A-K', 'Rahul-Rajeev', 'Joshwa-Selvam', 'Asha-Chigurupati', 'Ananth-Saran', 'Divyasree-P-k', 'Subha-Shree-1', 'Mouney-Koppula', 'Revathi-Darshan', 'Kanishka-Waghmare', 'Rahul-Dcunha-1', 'Vidya-Muthukumar-1', 'Vishakh-Hegde-1', 'Lekkala-Damodar', 'Akhil-Sai-Valluri', 'Jeyasiva-Parthiban', 'Rishi-Poddar', 'Varun-Krishna-10', 'Naveenraaj-KP', 'Souradeep-Bharti', 'Harish-Guda', 'Gopath-Niranthar', 'Sanjith-Gopalakrishnan', 'Sarath-Haridas', 'Shravan-Kumar-S', 'Madhuri-Suthar', 'Nishant-Mishra-5', 'Deepak-Mohan', 'Aditya-Bharadwaj-7', 'Pryakrit-Krishnan', 'Aparnna-Suresh', 'Nitin-Prasad-2', 'Keerthana-Kumar', 'Ishita-Shrivastava', 'Madhuvanthi-Govindarajan', 'Jayant-Thatte', 'Nirmal-Krishna-Venkatraman', 'Rahul-Swamy', 'Jathin-Babu', 'Sunjeev-Venkatesh', 'Devi-Baghya', 'Chitra-Chari-Sudarshan', 'SaiVineeth-Bobbili', 'Sarath-Kumar-Bsk-1', 'Kaushik-Jaganathan', 'Anuj-Gupta-33', 'Subramanya-Paddillaya', 'Kumar-Saketh', 'Shanmugasundaram-Muthuswamy', 'Sujidhar-Stuper', 'Poorna-Kumar-1', 'Ajay-Yeshwanth', 'Arunn-st-Thyagi', 'Aakanksha-Saha', 'Udit-Jhalnia', 'Shruthy-Suresh', 'Udhbhav-Menon', 'Gokul-Raj-B-1', 'Sathyanarayan-Krishnan', 'Divya-Srinivasan', 'Suraj-Shankar', 'Emaba-Nunki-Zaman', 'Archit-Singhal', 'Nayakanti-Nigamaa', 'Rohan-Kora', 'Sempon-Sibi', 'Karthick-S-A', 'Ankit-Khurana-14', 'Achuthan-Muguntharajan', 'Padma-Sarathy', 'Rathna-Kumar-11', 'Vamshi-Dawat-1', 'Rishab-Vardhan-1', 'Lalitha-Priyadharshini-1', 'Vaishnavh-Nagarajan', 'Anirudh-Mukund', 'Viraj-Doddihal', 'Dheeresh-Chandra-Naik', 'Pranesh-IP', 'Srevatsan-Muralidharan', 'Kranthi-Kumar-37', 'Vivek-Sivathanu', 'Ramani-Agharkar', 'Venkatraman-Nagarajan', 'Sankalp-Patel', 'Kothandaraman-Ravi', 'Sasya-Shyam-1', 'Karuna-Agarwal', 'Shekhar-Pawar-1', 'Abhishek-Balaji-2', 'Karthik-Ananth-Subramanian', 'Jayachandran-Komaravel-1', 'Manish-Kumar-Gupta-6', 'Vishaal-Dhamotharan', 'Neha-Ashok', 'Aryan-Scindia', 'Samarth-Gupta-28', 'Prasanna-Sridhar', 'Balaji-Soundar-2', 'Shreyas-Wattamwar', 'Aakash-Maddi', 'Athma-Sagar', 'Anup-Date-1', 'Krishna-Shrinivas-1', 'Raksha-Srinivasan-1', 'Sowmya-Ravi-3', 'Sunil-Roger', 'Nitin-Sachan-1', 'Akhil-Kt', 'Anand-Siva', 'Venkatesh-Vaikuntaraman', 'Sai-Balagi-Swaminathan', 'Athreya-Shankar', 'Kavi-Raj-10', 'Harsha-Gurram', 'Anand-Takawale', 'Dheepikaa-Natarajan-1', 'Aravind-Krishna-V-N', 'Aditie-Garg', 'Sabah-Farheen', 'Lakshmi-Narayanan-85', 'Vignesh-Cv-1', 'Srinath-Tankasala', 'Arjun-Bhagoji', 'Achuthan-Sekar-2', 'Nandakumar-Sundararajan', 'Pranathi-Diwakar', 'Rajesh-Sridhar', 'Madhav-Krishnan', 'Nithin-Krishna', 'Vasanth-Narayan', 'Raj-Sengupta-3', 'Sandeep-Guguloth', 'Sourodip-Ghoshdastidar-1', 'Gokul-PM-1', 'Harini-Suresh-5', 'Swati-Chaudhary-5', 'Aamir-Rahaman', 'Sasya-Shyam']"
Bijay-Adhikari-Chhetri,"['Shruthi-Shyamsunder', 'Edison-Lamsal', 'Ruthwik-Lakshman-Chepuri', 'Sai-Kumar-Chatla', 'Kapil-Aiyer', 'Rahul-Verma-304', 'Satyabrat-Doley', 'Abhishek-Saurabh-8', 'Apoorva-Saraf', 'Raman-Nagulwar-1', 'Joydeep-Biswas-3', 'Priyanka-Verma', 'Titus-Michael', 'Nivetha-Arul', 'Abhinav-Gajurel', 'Deepali-Choudhary-1', 'Lakshmi-Narasimhan-Srinivasan-1', 'Anand-Krishnan-11', 'Pritika-Chinnasamy', 'Ashwat-Amirthalingam', 'Subodh-Tirkey', 'Srivathsan-Vellaipandi', 'Ganesh-Venkat', 'Sudheer-Kumar-9', 'Jyotishman-Paul', 'Varun-Kumar-300', 'Najumudheen-Abdul-Razak', 'Hari-Kumaran-Babu', 'Jaishree-Rajasekaran', 'Adhi-M-R-Kumar', 'Nishanth-Thupalli', 'Varun-Chandrashekar-1', 'Vivor-Keleve', 'Vineetha-Govindaraj', 'Bhaskar-Leo-Ray', 'Anshul-Goyal-42', 'Jayanth-Parchuri', 'Durairaj-Martin', 'Rishi-Poddar', 'Anand-Chaudhary-3', 'Sarath-Haridas', 'Bibek-Sah', 'Kishan-Mahipal', 'Anand-Dev-11', 'Sherine-Brahma', 'Ashutosh-Yadav-31', 'Sahil-Medawala', 'Rajesh-Mohan-1', 'Murugesh-MM', 'Vinay-Tanwer', 'Adarsh-Shree-Ram', 'Ravi-Ranjan-71', 'Siddarth-Madiee', 'Shirish-Sivaraj', 'Halavath-Vinay', 'Kumar-Saketh', 'Nirupama-Radhakrishnan', 'Ambuja-Sharma', 'Ajay-Yeshwanth', 'Aparnna-Suresh', 'Shubham-Trivedi-2', 'Naren-Gsv', 'Nirvik-Ghosh', 'Saghan-Mudbhari-1', 'Sempon-Sibi', 'Sangeetha-Muthusamy-1', 'Diksha-Gohlyan', 'Soumyajit-Das-18', 'Shirish-Sharma-5', 'Ricky-Anand', 'Ragupathy-Alwar', 'Vaibhav-Kumar-Verma', 'Pranesh-IP', 'Divya-Jaiswal-5', 'Vijay-Moktan', 'Swagata-Chakraborty-6', 'Saghan-Mudbhari', 'Deepan-Thiruppathy', 'Shameem-Mahudoom-1', 'Prasanth-Muthulingam', 'V-Lokeswar-Sadasivuni', 'Satrajit-Chakraborty', 'Venkatesan-Kannan', 'Ronil-Bhattarai', 'Kaviya-Sekar-2', 'Prateek-Sisodiya', 'Anand-Siva', 'Julian-Raxam', 'Aravind-Neelakantan', 'Emi-Jain', 'Ayushi-Agarwal-13', 'Nigazh-Ayykkan', 'Hari-K-Muralidharan', 'Chanakya-Vir-Singh', 'Ramkrishna-Devarajan', 'Parikshit-Dey']"
