Sravanthi-AshokKumar,"['Sravanthi-AshokKumar', 'Obuli-Ramachandran-Nandhakumar', 'Deepika-Eswar', 'Sujana-Lrk', 'Badma-Balaji', 'Sujana-Radhakrishnan', 'Anahita-Havewala', 'Kannan-Ravindran', 'Sushmitha-Suresh-1', 'Braghadeesh-Dhivakar', 'Hema-Madhavan', 'Vicky-Murali-2', 'Venkatesan-Kannan', 'Aarthi-Subramanian', 'Charanya-Padmanabhan', 'Ajay-Yeshwanth', 'Saranya-Selvam-2', 'Rohini-Nagarajan', 'Pratheeba-Shyam', 'Kumar-Saketh', 'Mitra-Anand-Varun', 'Soundarya-Sankar-1', 'Harshan-Shyam', 'Dhivagar-Vasudevan', 'Gopath-Niranthar', 'Sangavi-Aravindan', 'Anand-Siva', 'Nivedhitha-Sivakumar', 'Sempon-Sibi', 'Mohit-Loganathan', 'Monikka-Ilangovan', 'Anand-Krishnan-11', 'Aswin-Sugumaran', 'Sushmitha-Ramesh-Kumar', 'Sarath-Haridas', 'Srividhya-Swaminathan', 'Rekha-Banu', 'Srinath-Shankar-4', 'Sangeetha-Boopathi', 'Ramakrishnan-Natarajan-1', 'Harini-Subramanian-1', 'Niveditha-Rao', 'Raam-Gautham']"
Akila-Viswanathan-2,"['Anand-Siva', 'Siddharth-Harisankar', 'Sarath-Haridas', 'Yedu-Krishnan-1', 'Sempon-Sibi', 'Venkatesan-Kannan', 'Sai-Charan-13', 'Anand-Krishnan-11', 'Narasimhan-Rangaswamy', 'Ajitesh-Rajeevan', 'Kumar-Saketh', 'Anirudh-Krishnan-21']"
Rajaram-Suresh,"['Danny-Sagar', 'Nikhil-Kumar-27', 'Shruthi-Shyamsunder', 'Reshmi-Suresh', 'Nishant-Bhatia-8', 'Krishna-Kumar-R', 'Paramasivan-Em', 'Arjun-Agrawal-1', 'Rajaram-Suresh', 'Gowtham-Venkatraman', 'Maunish-Barvalia', 'Shakshi-Ginodiya-1', 'Harish-Venkat-2', 'Pranay-Boobna', 'Manikandan-Srinivasan', 'Sriram-Jayaraman', 'Swapnil-Basak', 'Varadha-Rajan-2', 'Madhu-Balaji', 'Rinitha-Aramkumar', 'Anand-Krishnan-11', 'Deepak-Mercy-Johnson', 'Kishore-Bharathy', 'Rishabh-Naresh', 'Gowtham-Srinivas', 'Arun-Balan-3', 'Sumit-Bhagat-2', 'Aravindh-Kumar', 'Suraj-Kashyap', 'Arshad-Nujoom-1', 'Manoj-Rengarajan', 'Jyotishman-Paul', 'Arya-Prakash', 'Vadlamudi-Valli-Kishore', 'Kural-Arasan-5', 'Venkatesan-Kannan', 'Roshan-Santhoshh', 'Vasanth-Narayan', 'Nithin-Rajendran', 'Vamsidhar-Nuthalapati', 'Santhosh-Kumar-64', 'Dileep-Kishore', 'Joshwa-Selvam', 'Shubham-Barsaiyan-1', 'Anand-Raghavendra', 'Vignesh-Nv', 'Jeyasiva-Parthiban', 'Rishi-Poddar', 'Varun-Krishna-10', 'Naveenraaj-KP', 'Sanjana-Vijayakumar', 'Sarath-Haridas', 'Sajal-Jain-10', 'Ajjay-Omprakas', 'Rohan-Gandhi-5', 'Aakriti-Kumar-2', 'Rushabh-Menon', 'Darshan-Bathija', 'Pavan-Subhakar', 'Silla-Pavan-Santosh-Kumar', 'Chidambaram-Palaniappan', 'Shruthy-Suresh', 'Avnee-Dhamija-1', 'Urmika-Sinha', 'Kumar-Saketh', 'Raj-Ash', 'Poorna-Kumar-1', 'Ajay-Yeshwanth', u'Saurabh-Zee-Zunk\xe9', 'Aparnna-Suresh', 'Adarsh-Shree-Ram', 'Mayank-Sanghani', 'Anant-Chaudhary-1', 'Rohan-Kora', 'Sempon-Sibi', 'Sangeetha-Muthusamy-1', 'Roshini-Ganesh-1', 'Harsh-Jain-15', 'Vijay-Srinivas-3', 'Haricharan-Padmanabhan', 'Anahita-Havewala', 'Madhura-Balasubramaniam-1', 'Dheeresh-Chandra-Naik', 'Ferril-Samal', 'Sanjeev-Rao-2', 'Sankalp-Patel', 'Anshul-Gadgil', 'Prashanth-Jana', 'Anish-Acharya-7', 'Amar-Siva-Santosh-Paluri', 'Jayachandran-Komaravel-1', 'Vishaal-Dhamotharan', 'Anirudh-Seksaria', 'Abhijit-Kande', 'Bethanavel-Ashwanth', 'Poorvaj-Venkatraman', 'Sunil-Roger', 'Prakruti-Gogia', 'Anand-Siva', 'Shreyas-Harish', 'Prateek-Vijayavargia', 'Ruban-Jacob-1', 'Nishit-Shah-60', 'DInesh-KUmar-166', 'Madhav-Krishnan', 'Mukul-Jha-1', 'Saurabh-Kanojia-2', 'Gouthaman-VB-1', 'Sravanth-Talluri', 'Deepesh-Nandanwar', 'Noel-Jose-1']"
Kannan-Ravindran,"['Ashwin-Venkataraman-6', 'Pranesh-Sarvesan', 'Braghadeesh-Dhivakar', 'Tulsi-Poornima', 'Ruthwik-Lakshman-Chepuri', 'Rajaram-Suresh', 'Sriganesh-Balakumar', 'Akila-Viswanathan-2', 'Sravanthi-AshokKumar', 'Trishaal-Rao', 'Nivesh-Nagarajan', 'Manikandan-Srinivasan', 'Kamana-Jain', 'Balraj-Narendra', 'Vesarzini-Venkat', 'Naresh-Ananthapalli', 'Anand-Krishnan-11', 'Sembiyan-Anbarasu-1', 'Rajesh-Kannan-5', 'Mohammed-Tariq-Mohamed-Ali', 'Pritika-Chinnasamy', 'Gowtham-Srinivas', 'Hasan-Kruz-Wayne', 'Srinath-Vavilla', 'Arun-Balan-3', 'Niranjan-Ravindran', 'Ganesh-Venkat', 'Anand-Siva', 'Anupama-Sree-1', 'Jaishree-Rajasekaran', 'Arun-Kumar-378', 'Ramaraja-Ramanujan', 'Venkatesan-Kannan', 'Raj-Deepak-4', 'Varsha-Prasad-2', 'Aswin-Arunachalam', 'Sriram-Sundaram-1', 'Anand-Kr-3', 'Raj-Kumar-1587', 'Aravindh-Bala-1', 'Mohan-Sundaram-7', 'Chandrasekar-Suresh', 'Lakshmi-Narayanan-166', 'Varun-Krishna-10', 'Naveenraaj-KP', 'Ajay-Yeshwanth', 'Priyan-Vaithilingam', 'Sarath-Haridas', 'Koushik-Enkay', 'Ajjay-Omprakas', 'Al-Shira', 'Root-Codefire', 'Ajitesh-Rajeevan', 'Dushyanth-Kumar-1', 'Rajesh-Mondal-3', 'Srinivasan-Dhamodharan', 'Vishnu-R-Menon-3', 'Kumar-Saketh', 'Shanmugasundaram-Muthuswamy', 'Vishnu-Sharath-1', 'Chintu-Philips-Koshy', 'Aparnna-Suresh', 'Adarsh-Shree-Ram', 'Karthik-Mathiyazhaggan', 'Gokul-Raj-B-1', 'Rishi-Poddar', 'Ash-Seven', 'Balasubramanian-Madhusudan', 'Vipin-Unnekrishnan', 'Aswin-Mohan', 'Sushilkumar-Shisode-1', 'Yaksh-Dawar', 'Rohan-Kora', 'Aditi-Ravi-6', 'Sarayu-Bhardwaj-1', 'Sempon-Sibi', 'Chandra-Mouli-G', 'Subhrajit-Majumder-2', 'Vishnu-Sharath', 'Vimal-Espada', 'Shafeeq-Ahamed-A-M-1', 'Yegammai-Lakshmannan', 'Dheeresh-Chandra-Naik', 'Aswinraj-Srinivasan', 'Suresh-Murali-5', 'Athul-Prabhakaran', 'Achyuth-Kp-1', 'Vigneshwaran-Markandan', 'Balaji-Sankar', 'Sankalp-Patel', 'Prasanna-Mayil', 'Guru-Prasath-24', 'Abhishek-Balaji-2', 'Vishaal-Dhamotharan', 'Venkatesh-Vaikuntaraman', 'Raam-Gautham-1', 'Prasanna-Sridhar', 'Sai-Suraj-Chandrasekaran', 'Karthick-Chandran', 'Rishi-Vaishnav', 'Vivek-Vasudevan-3', 'Ranchana-Rajasekar', 'Deepika-Krishnakumar-1', 'Kuldeep-Mahaveer-1', 'Nandakumar-Sundararajan', 'Yedu-Krishnan-1', 'Gurucharan-Singh-Makhija']"
Ashwin-Venkataraman-6,"['Prashanth-Murugan', 'Srinath-Shankr', 'Swetha-Sridharan-5', 'Ashwin-Venkataraman-6', 'Akshaya-Srinivasan-5', 'Mohnish-Manohar', 'Harish-Shankar-2', 'Paramasivan-Em', 'Charanya-Padmanabhan', 'Rajaram-Suresh', 'Krishnan-Venkatesan', 'Trishaal-Rao', 'Anirudh-Suresh-4', 'Nivesh-Nagarajan', 'Babu-Naraen', 'Aravind-Muralidharan-1', 'Adhithya-Varatharajan', 'Varadha-Rajan-2', 'Dakshin-Kailash', 'Hari-K-Muralidharan', 'Anand-Krishnan-11', 'Prashanth-Seetharaman', 'Ramkumar-Natarajan-5', 'Binoy-Balu', 'Karthik-Ravi-4', 'Hasan-Kruz-Wayne', 'Akshay-Suresh-4', 'Atul-Maheswari-1', 'Rahul-Gupta-188', 'Bharad-Waj-7', 'Akash-Ravi-2', 'Shriram-Vvr', 'Akshaya-Vaidyanathan', 'Mukesh-Rokz', 'Kannan-Ravindran', 'Arun-Kumar-378', 'Duarakesh-Sridhar', 'Venkatesan-Kannan', 'Mitra-Anand-Varun', 'Sriram-Sundaram-1', 'Ashwin-Mohanarangan', 'Aravindh-Bala-1', 'Mohan-Sundaram-7', 'Rishi-Poddar', 'Varun-Krishna-10', 'Bamini-Ravi', 'Prashanth-Bhaskaran', 'Swastikka-Ramasubbu', 'Sarath-Haridas', 'Sai-Karthik-Shankaranarayanan', 'Koushik-Enkay', 'Ahmed-Raza-14', 'Deepak-Ravi-8', 'Rajesh-Mohan-8', 'Ashwin-Iyer-18', 'Shiva-Moorthy', 'Rajesh-Mohan-1', 'Dushyanth-Kumar-1', 'Nirmal-Krishna-Venkatraman', 'Adarsh-Raj-9', 'Sai-Prasad-106', 'Kumar-Saketh', 'Shanmugasundaram-Muthuswamy', 'Kishan-Shah-9', 'Ajay-Yeshwanth', 'Aparnna-Suresh', 'Naveenraaj-KP', 'Adarsh-Shree-Ram', 'Martin-Stojcevski-8', 'Sankaran-Vignesh', 'Yashwanth-Dhanaraj', 'Nikhil-Vas-1', 'Manikandan-Vandavasi', 'Siva-Nandha', 'Surajkumar-Harikumar', 'Arun-Prasanna-1', 'Sarayu-Bhardwaj-1', 'Rahul-Sivakumar-3', 'Chandra-Mouli-G', 'Pinto-Ryderz', 'Lalith-Kishore-4', 'Aishu-Ramesh-1', 'Vishnu-Sharath', 'Kaarthic-Rs-1', 'Jugal-Ashar', 'Gokul-Krishna-41', 'Badhreesh-M-Rao', 'Shashank-Bharadwaj-4', 'Shafeeq-Ahamed-A-M-1', 'Rishab-Balakrishnan-1', 'Adhi-M-R-Kumar', 'Vasanth-Krishnan-3', 'Prateik-Nallathambi', 'Al-Shira', 'Achyuth-Kp-1', 'Balaji-Sankar', 'Ramya-Murali-2', 'Ramachandran-Balasubramanian-1', 'Nirupama-Jayaraman', 'Chidhambaram-Kasi', 'Aravindakshan-Ramesh', 'Guru-Prasath-24', 'Balachandar-Ramachandran', 'Abhishek-Balaji-2', 'Navin-Kumar-Dungarwal-Choudhary', 'Dinesh-Kumar-738', 'Vishaal-Dhamotharan', 'Neha-Rajamani', 'Karthik-Narayan-8', 'Rishab-Balakrishnan', 'Poorvaj-Venkatraman', 'Sempon-Sibi', 'Roshni-Kannan', 'Safvan-Vadakkangara', 'Anand-Siva', 'Venkatesh-Vaikuntaraman', 'Manikandan-Ganapathy-1', 'Ganesh-Venkataramani-1', u'Var\xfan-M\xe2dhavan', 'Giridhar-Subramanian', 'A-Venkata-Sai-Kasyap', 'Ajitab-Choudhary', 'Akshay-Venkatesh-4', 'Santhosh-Kumar-727', 'Yedu-Krishnan-1', 'Madhav-Krishnan', 'Barghav-Hariharan', 'Venkat-Ramana-37']"
Pranesh-Sarvesan,"['Paidi-Avinash', 'Pranesh-Sarvesan', 'Sushmitha-Rajasekar', 'Ruthwik-Lakshman-Chepuri', 'Akshara-Babu', 'Karthik-Thiyagarajan-3', 'Trishaal-Rao', 'Nivesh-Nagarajan', 'Kanya-Satis', 'Pritika-Chinnasamy', 'Kamana-Jain', 'Reethu-Mariam-Raphael-1', 'Madhu-Balaji', 'Calwin-Titus-1', 'Anand-Krishnan-11', 'Dinesh-Udhayan', 'Praveen-Palaniyappan', 'Gowtham-Srinivas', 'R-Pradeep-Saravanakumar', 'Ganesh-Venkat', 'Sabari-Mukunthan-1', 'Anupama-Sree-1', 'Arun-Prakash-131', 'Pradeep-Kumar-1262', 'Arun-Kumar-378', 'Ramaraja-Ramanujan', 'Duarakesh-Sridhar', 'Sudharsan-Varadharajan', 'Vishnu-R-Menon-3', 'Ramanathan-Ram-8', 'Kavin-Prem-Kumaar', 'Ashwin-Sanjeevan-1', 'Kacharla-Bharadwaj', 'Ashish-Muralidharan', 'Jithin-Jayan-1', 'Mukund-Sarma-1', 'Kaushik-Mani-2', 'Manish-Ramesh-1', 'Lakshmi-Narayanan-166', 'Varun-Krishna-10', 'Naveenraaj-KP', 'Gopath-Niranthar', 'Priyan-Vaithilingam', 'Vinayak-Ramesh-2', 'Sarath-Haridas', 'Aishvarya-Gopalakrishnan', 'Gokul-Saravanan-4', 'Koushik-Enkay', 'Naresh-Perumal', 'Gayatri-Balachandran-1', 'Saravana-Kumar-244', 'Jithin-Sreenivasan-1', 'Chetan-Duddagi', 'Karthik-Kartz', 'Kumar-Saketh', 'Ravi-Shankar-399', 'Ajay-Yeshwanth', 'Aparnna-Suresh', 'Adarsh-Shree-Ram', 'Divya-Muralidharan-1', 'Rishi-Poddar', 'Ash-Seven', 'Dinesh-Narayan-4', 'Yaksh-Dawar', 'Arvind-Mohan-8', 'Rohan-Kora', 'Ahmed-Nasir-2', 'Sempon-Sibi', 'Anup-Nair-39', 'Shees-Ali-1', 'Raghu-Unchained', 'Preeti-Nambiar-1', 'Subash-Venkataraman', 'Vimal-Espada', 'Sangami-Ilangovan', 'Vipul-Venkataraman', 'Indu-Kumar-12', 'Yegammai-Lakshmannan', 'Raghav-Iyer-4', 'Pranesh-IP', 'Ritesh-Anilkumar', 'Yeshwanth-Reddy-1', 'Nikhil-Thomas-Joy', 'Viknesh-Babu-2', 'Vishaal-Dhamotharan', 'Raam-Gautham-1', 'Nikitaa-Sivaakumar', 'Venkatesan-Kannan', 'Jerusha-Erskine', 'Priya-Ramakrishnan-Iyer', 'Sunil-Roger', 'Rajesh-Kannan-5', 'Soundharya-Murali', 'Vishaal-M-K', 'Anand-Siva', 'Ranchana-Rajasekar', 'Vipin-Unnekrishnan', 'Subramaniam-Thirunavukkarasu', 'Abhishek-Subramanian-5', 'Harish-Raman-7', 'Jason-Jacob-George']"
Braghadeesh-Dhivakar,"['Shreyas-Harsha-1', 'Dhinesh-Kumar-53', 'Pranesh-Sarvesan', 'Braghadeesh-Dhivakar', 'Navin-Krithish', 'Ganesh-Kaushik-1', 'Sravanthi-AshokKumar', 'Trishaal-Rao', 'Rahul-Racha', 'Chandan-Jagadeesh-1', 'Bharathwaj-Aparajithan', 'Sandeep-Reddy-85', 'Swetha-Nanthakumar', 'Prasanth-Siva', 'Aravind-Kumar-28', 'Madhu-Balaji', 'Vignesh-Vicky-144', 'Hemanth-Varma-1', 'Midhun-Murali-1', 'Abinandhan-Srivatsav', 'Achyut-Sarma-Boggaram', 'Subha-Divakar', 'Akshay-Suresh-4', 'Naga-Arjun-3', 'Ganesh-Venkat', 'Suchitra-Selvaraj', 'Kannan-Ravindran', 'Rajeshwari-Srinivasan', 'Gowtham-Vijay-4', 'Adhi-M-R-Kumar', 'Ramaraja-Ramanujan', 'Niveditha-Murali', 'Kishan-Bharadwaj-S', 'Venkatesan-Kannan', 'Preethish-Purushothaman', 'Reshma-Suriachandraselvan', 'Sivakumaran-Manoharan-1', 'Raghav-Chakravarthy', 'Rohit-Balasubramanian-2', 'Ramkumar-Ramachandran-1', 'Ashwin-Sanjeevan-1', 'Ravi-Shankar-399', 'Gopi-Teja', 'Raghunathan-MJ', 'Anurag-Mallem', 'Hiran-Babu', 'Sucharitha-Reddy', 'Anand-Krishnan-11', 'Naveenraaj-KP', 'Ajay-Yeshwanth', 'Gautam-Somappa', 'Arun-Avr', 'Arpit-Sharma-1', 'Sarath-Haridas', 'Anirudh-Madhavan-4', 'Ezio-Navn', 'Ritesh-Anilkumar', 'Ajjay-Omprakas', 'Sukan-Ya-T', 'Sushravya-Guruprasad', 'Kamal-Kiran-2', 'Barghav-Hariharan', 'Easwar-Aiyer', 'Gowtham-raj-R', 'Roshini-Kesavan-1', 'Karthiek-Kunamneni', 'Srikaanth-Narayanan-S', 'Aditya-Sriram-13', 'Sandeep-Manoharan-1', 'Navaneethkrishnan-Nambiar', 'Kumar-Saketh', 'Vishvak-Kannan-1', 'Shanmugasundaram-Muthuswamy', 'Karthik-Subramani-5', 'Gokul-Raj-B-1', 'Anusha-Muthiah-1', 'Malavika-Nandan-1', 'Rama-Krishnan-1', 'Vishaal-Gopalan', 'Barath-Rgk', 'Aditya-Narayana-4', 'Naren-Gsv', 'Divya-Muralidharan-1', 'Gopath-Niranthar', 'Dinesh-Narayan-4', 'Raam-Gautham', 'Gokul-Devunuri-1', 'Gowtham-Raj-21', 'Sempon-Sibi', 'Priyan-Vaithilingam', 'Anirudh-Menon-11', 'Pinto-Ryderz', 'Aadarsh-Sampath', 'Sachin-Pc', 'Jayanthan-TP', 'Vimal-Espada', 'Varun-Babu-3', 'Kuralamudhan-Arutselvan', 'Yaswanth-Varma-1', 'Anirudh-AV-1', 'Pranesh-IP', 'Koushik-Enkay', 'Achyuth-Kp-1', 'Harishankar-Suresh', 'Raghav-Ramky', 'Sanjay-Ravikumar', 'Pranesh-Ravi', 'Duarakesh-Sridhar', 'Arjun-Jayakrishnan', 'Nasrin-Jaleel', 'Raam-Gautham-1', 'Jagannathan-Tiruvallur-Eachambadi', 'Kishan-Kesavan', 'Pavithran-Manoharan', 'Priya-Ramakrishnan-Iyer', 'Adithya-Selvaganapathy', 'Amrita-Csec', 'Smrithi-Rekha-Adinarayanan', 'Anand-Siva', 'Sri-Dharan-11', 'Shivnesh-V-Rajan', 'Rohit-Srivatsan', 'Sridhar-Kibbu-Sridhar', 'Vipin-Unnekrishnan', 'Madhav-Krishnan', 'Harsh-Agrawal-18', 'Raghavendran-Eachambadi', 'Ram-Prasath-43', 'Harish-Raman-7', 'Harshitha-Reddy-20', 'Chandu-Muthyala', 'Romil-Kumar-Vasani']"
Tulsi-Poornima,"['Rajasubramaniam-Sankarasubramaniam', 'Nirmal-Krishna-Venkatraman', 'Sunjeev-Venkatesh', 'Abhilash-Sreekumar', 'Kannan-Ravindran', 'Guru-Prasath-24', 'Tulsi-Poornima', 'Nithin-Murali-3', 'Nitish-Myneni', 'Ajay-Viswanathan-3', 'Venkatesan-Kannan', 'Charanya-Padmanabhan', 'Hackers-Muthu', 'Madan-Gopal-11', 'Aparnna-Suresh', 'Sai-Charan-13', 'Karthik-Mathiyazhaggan', 'Kumar-Saketh', 'Rahul-Rk-3', 'Siddharth-Harisankar', 'Nivesh-Nagarajan', 'Vigneshwar-Selvaraj-1', 'Anand-Siva', 'Sai-Madhusudanan', 'Vignesh-Venkat-7', 'Sempon-Sibi', 'Abhishek-Rajan-7', 'Anand-Krishnan-11', 'Rishi-Poddar', 'Abhishek-Kishore-5', 'Swastikka-Ramasubbu', 'Jay-Murugan', 'Sarath-Haridas', 'Yedu-Krishnan-1', 'Kishore-Kumar-267', 'Ajjay-Omprakas', 'Saran-Raj-69', 'Thamizh-Amudhan', 'Shiva-Moorthy', 'Chidambaram-Palaniappan', 'Al-Shira']"
Trishaal-Rao,"['Debjyoti-Roy', 'Shiva-Kumar-175', 'Pranesh-Sarvesan', 'Pratyusha-Kethinedi', 'Neel-Bakshi', 'Trishaal-Rao', 'Aditya-Krishnamurthy', 'Kamana-Jain', 'Anand-Krishnan-11', 'Jayakrishna-Duvvuri-1', 'Gowtham-Srinivas', 'Satish-Reddy-Tetali-1', 'Prasanth-Suresh-1', 'Satish-Reddy-Tetali', 'Freny-Mallya', 'Nishant-Borthakur', 'Abhiram-Pappula-1', 'Varun-Krishna-R', 'Abhishek-Yenumula-1', 'Sai-Nikhil-Chandra', 'Naman-Bafna', 'Bhs-Dutt-1', 'Ramaraja-Ramanujan', 'Poorna-Prasad', 'Raheem-Syed-Shah-SuRaaj-Shaik', 'Venkatesan-Kannan', 'Sainath-Addagatla', 'Satya-Narayan-Das-1', 'Varsha-Prasad-2', 'Vikrantsingh-Thakur', 'Aravind-Karthik-3', 'Sumit-Yadav-59', 'Bhs-Dutt', 'Shantanu-Korada', 'Chandu-Reddy-2', 'Lakshmi-Narayanan-166', 'Varun-Krishna-10', 'Naveenraaj-KP', 'Kaustav-Datta-2', 'Arjun-Suresh-23', 'Sarath-Haridas', 'Arpit-Sharma-5', 'Koushik-Enkay', 'Ajjay-Omprakas', 'Stella-Ola', 'Raghuram-Venkata', 'Chandra-Mani-Kanta', 'Murugesh-MM', 'Ranjan-Anantharaman', 'Yeshwanth-Reddy-1', 'Vishnu-R-Menon-3', 'Kumar-Saketh', 'Raunak-Singhal', 'Ankit-Sarkar', 'Lakshmi-Narayanan-85', 'Ajay-Yeshwanth', 'Aparnna-Suresh', 'Adarsh-Shree-Ram', 'Gokul-Raj-B-1', 'Naren-Gsv', 'Praveen-Psv', 'Rishi-Poddar', 'Ash-Seven', 'Brindha-Parthiban', 'Dinesh-Narayan-4', 'Raam-Gautham', 'Rohan-Kora', 'Sempon-Sibi', 'Sidharth-Manne', 'Surya-Sarvajith', 'Arnab-Mazumdar-1', 'Srikanth-Suresh-3', 'Ojas-Narayanann', 'Anil-Kumar-Boda', 'Gangadhar-Vobilisetti', 'Vipul-Venkataraman', 'Anand-Babu-Bukkapindla', 'Ambadipudi-Chaitanya-KC', 'Mrudula-Balachander', 'Lakhan-Shiva', 'Philip-Thomas-32', 'Shyam-Krishna-Shenoy', 'Athul-Prabhakaran', 'Shushanth-Ashok', 'Arun-Shankar-28', 'Yaksh-Dawar', 'Siddartha-Vuppala', 'Krishna-Mvs', 'Goutham-Reddy-10', 'Prasanna-Mayil', 'Aakash-Bhanushali', 'Aditya-Bhatia-12', 'Geetha-Krishna-5', 'Sai-Madhusudanan-1', 'Mothi-Prasath', 'Vishaal-Dhamotharan', 'Raam-Gautham-1', 'Vasanth-Narayan-2', 'Aswin-Manoj', 'Veera-Veer', 'Sunil-Roger', 'Rajesh-Kannan-5', 'Vishaal-M-K', 'Anand-Siva', 'Christian-Onuoha', 'Rohit-Pentapati', 'Vetty-Boy', 'Akshay-Maganti', 'Adhitya-Sriram', 'Vipin-Unnekrishnan', 'Madhav-Krishnan', 'Subramaniam-Thirunavukkarasu', 'Ruban-Raj-S', 'Gurucharan-Singh-Makhija']"
Ruthwik-Lakshman-Chepuri,"['Shruthi-Shyamsunder', 'Pompi-Boro-1', 'Pranesh-Sarvesan', 'Paramasivan-Em', 'Sudarshan-Sarathy', 'Ruthwik-Lakshman-Chepuri', 'Abinash-Padhi', 'Rohith-Hari-Kiran', 'Vivek-Ablaze', 'Venkat-Ramaswamy', 'Balakumaran-Palanivel', 'Rajaraman-Padmanabhan-1', 'Rahul-Srivastava-2', 'Krishnan-Venkatesan', 'Ram-Prasad-18', 'Surya-Narayanan-4', 'Trishaal-Rao', 'Aakash-Kumar-9', 'Akhil-Reddy-78', 'Suresh-Kumar-124', 'Kamana-Jain', 'Preethi-Murali-1', 'Anand-Krishnan-11', 'Sanjay-Kumar-724', 'Pritika-Chinnasamy', 'Gowtham-Srinivas', 'Akshay-Suresh-4', 'Siddhant-Suryabanshi', 'Bharat-Maloo', 'Nithesh-Kanna', 'Ankit-Shah-107', 'Pratyusha-Gajavalli', 'Ganesh-Venkat', 'Ayan-Mallik', 'Ayushi-Tiwari', 'Sudheer-Kumar-9', 'Amit-Kumar-Mishra-5', 'Adhi-M-R-Kumar', 'Ramaraja-Ramanujan', 'Recal-Uma', 'Kishan-Bharadwaj-S', 'Venkatesan-Kannan', 'Utsav-Kumar-19', 'Afdal-Basheer', 'Rohith-Yeravothula', 'Rajkumar-Rajendran-6', 'Kashish-Jajodia', 'Durairaj-Martin', 'Rohit-Jakkula-Venkata', 'Kavin-Kumar-12', 'Yunchuan-Li', 'Rishi-Poddar', 'Naveenraaj-KP', 'Palaniappan-Sn', 'Sarath-Haridas', 'Koushik-Enkay', 'Anand-Dev-11', 'Susana-Oommen', 'Ashok-Lakkaraju', 'Trishank-Sharma', 'Murugesh-MM', 'Lokeshwaran-Ravi', 'Yeshwanth-Reddy-1', 'Sushobhan-Ghosh', 'Srikaanth-Narayanan-S', 'Vishnu-R-Menon-3', 'Kumar-Saketh', 'Shreyas-Keote', 'Nikhil-Dwivedi-3', 'Ajay-Yeshwanth', 'Koushik-Krithivasan-1', 'Vaishali-Swaminathan-1', 'Aparnna-Suresh', 'Sri-Venkateswarlu', 'Adarsh-Shree-Ram', 'Gokul-Raj-B-1', 'Vasantha-Ramani', 'Naren-Gsv', 'Dinesh-Narayan-4', 'Athul-Prabhakaran', 'Arvind-Mohan-8', 'Rohan-Kora', 'Nirvik-Ghosh', 'Nitin-Kukreja', 'Saghan-Mudbhari-1', 'Sempon-Sibi', 'Palak-Samaiya', 'Divya-Aparna-1', 'Sant-Kumar-Bagri-1', 'Girish-Sridaran', 'Vinayak-Ramesh-2', 'Shri-Vishnu-Perumalsamy', 'Vipul-Venkataraman', 'Karthika-Ramesh-1', 'Vivek-Suryamurthy', 'Vijay-Krishna-131', 'Arghya-Patra', 'Pranesh-IP', 'Suraj-Rautella-1', 'Vivek-Bp', 'Niranjan-Kumar-6', 'Arvind-Ganesan-1', 'Venkatraman-Nagarajan', 'Sri-Aravinda-Krishnan-Thyagarajan', 'Bharadwaj-Vemparala', 'Aakriti-Mittal', 'Prasanna-Mayil', 'Ambarish-Vaidyanathan', 'Pankaj-Kumar-16', 'Jeff-Lieberman-1', 'Prasanna-Sridhar', 'Ashwat-Amirthalingam', 'Pavithran-Manoharan', 'Saranya-Periasamy', 'Siddharth-Jawahar', 'Anand-Ashok-Kumar', 'Sunil-Roger', 'Rajesh-Kannan-5', 'Anand-Siva', 'Jaishree-Rajasekaran', 'Nishant-Panigrahi-2', 'Sourav-Sarkar-14', 'Rajshekar-Reddy-15', 'Lakshmi-Narayanan-166', 'Sivaranjani-Subramanian', 'Sherine-Brahma', 'Abhishek-Agrawal-52', 'Girish-Kumar-28', 'Hari-K-Muralidharan', 'Banavath-Sumanth', 'Vipin-Unnekrishnan', 'Swarna-Lakshmi-Ramalingam', 'Deepak-Dakshinya-Nadiminti', 'Vinay-Kumar-75', 'Prasannavenkatesan-Krishnan', 'Gurucharan-Singh-Makhija']"
