1,"[1220, 1296, 1224, 1282, 1043, 1078, 1172, 1223, 1031, 1276, 1116, 1185, 1126, 1094, 1112, 1144, 1067, 1152, 1184, 1118, 1041, 1009, 1236, 1213, 1007, 1197, 1042, 1232, 1273, 1265, 1019, 1044, 1147, 1150, 1028, 1062, 1180, 1222, 1164, 1056, 1026, 1023, 1131, 1195, 1227, 1141, 1121, 1219, 1107, 1158, 1038, 1272, 1135, 1287, 1245, 1260, 1175, 1249, 1229, 1010, 1187, 1140, 1254, 1024, 1151, 1279, 1259, 1242, 1070, 1037, 1128, 1190, 1247, 1119, 1168, 1251, 1275, 1074, 1264, 1093, 1138, 1162, 1210, 1149, 1014, 1089, 1066, 1129, 1209, 1202, 1022, 1176, 1143, 1215, 1004, 1018, 1203, 1286, 1293, 1170, 1231, 1052, 1029, 1102, 1182, 1258, 1127, 1006, 1199, 1025, 1079, 1288, 1059, 1133, 1011, 1257, 1238, 1049, 1191, 1046, 1113, 1289, 1109, 1188, 1243, 1252, 1177, 1153, 1104, 1106, 1198, 1091, 1068, 1016, 1092, 1115, 1051, 1263, 1069, 1045, 1186, 1281, 1136, 1159, 1183, 1173, 1134, 1032, 1122, 1194, 1239, 1057, 1205, 1246, 1012, 1083, 1178, 1096, 1230, 1280, 1090, 1047, 1098, 1206, 1179, 1155, 1266, 1278, 1114, 1218, 1225, 1111, 1240, 1095, 1300, 1277, 1200, 1261, 1021, 1274, 1292, 1228, 1048, 1161, 1163, 1255, 1268, 1034, 1003, 1073, 1294, 1204, 1110, 1125, 1040, 1160, 1124, 1013, 1214, 1284, 1076, 1084, 1189, 1295, 1221, 1087, 1072, 1108, 1241, 1065, 1061, 1244, 1271, 1216, 1097, 1132, 1033, 1291, 1020, 1130, 1298, 1027, 1166, 1201, 1063, 1156, 1101, 1050, 1145, 1248, 1058, 1103, 1064, 1165, 1217, 1235, 1211, 1207, 1139, 1099, 1154, 1086, 1039, 1053, 1001, 1120, 1262, 1054, 1267, 1117, 1015, 1167, 1196, 1290, 1035, 1148, 1181, 1212, 1075, 1297, 1123, 1226, 1137, 1234, 1008]"
2,"[1077, 1002, 1174, 1081, 1208, 1283, 1071, 1105, 1237, 1233, 1030, 1005, 1250, 1100, 1146, 1017, 1269, 1142, 1085, 1301, 1055, 1171, 1082, 1080, 1192, 1088, 1169, 1193, 1270, 1256, 1285, 1157, 1060, 1036, 1299, 1253, 1184, 1147, 1324, 1309, 1304, 1313, 1306, 1314, 1319, 1320, 1321, 1307, 1315, 1311, 1322, 1308, 1186, 1183, 1012, 1318, 1310, 1316, 1305, 1317, 1312, 1103, 1302, 1207]"
3,"[1303, 1060, 1323, 19058]"
4,"[1989, 1147, 3092, 2116, 1320, 1553, 2137, 19057, 1183, 19060, 1386, 18412, 1103, 1207, 1773, 7437, 1398, 1428, 19059, 1060, 1402, 1433, 1430, 1425, 1399, 1385, 1147, 1150, 1412, 1437, 1416]"
5,"[1431, 1393, 1381, 1401, 1391, 1405, 1421, 1070, 1409, 1438, 1419, 1441, 1436, 1417, 1320, 1414, 1389, 1403, 1397, 1182, 1418, 1396, 1427, 1315, 1429, 1406, 1440, 1186, 1183, 1432, 1392, 1439, 1225, 1384, 1380, 1388, 1410, 1386, 1395, 1379, 1407, 1423, 1435, 1434, 1101, 1404, 1103, 1413, 1382, 1426, 1424, 1207, 1387, 1411, 1383, 1398, 1428, 1422, 1390, 1420, 1400, 1415, 1408, 1060, 1394, 1402, 1497, 1448, 1450, 1465, 1502, 1147, 1449, 1464, 1445, 1461, 1466, 1458, 1446, 1443, 1486, 1481, 1320, 1489, 1454, 1452, 1456, 1493, 1498, 1490, 1494, 1495, 1470, 1315, 1491, 1444, 1463, 1474, 1476, 1472, 1068, 1471, 1186, 1183, 1475, 1447, 1488, 1478, 1460, 1455, 1469, 1477, 1480, 1484, 1479, 1473, 1442, 1483, 1485, 1103, 1459, 1487, 1500, 1462, 1492, 1207, 1453, 1496, 1482]"
6,"[1499, 1468, 1457, 1428, 1467, 1451, 1060, 1501, 1325, 1537, 1522, 1184, 1533, 1509, 1550, 1147, 1150, 1538, 1416, 1546, 1503, 1512, 1524, 1552, 1519, 1521, 1070, 1540, 1366, 1504, 1507, 1545, 1513, 1127, 1427, 1547, 1530, 1315, 1508, 1534, 1532, 1322, 1529, 1289, 1243, 1514, 1510, 1183, 1432, 1544, 1230, 1531, 1375, 1527, 1048, 1543, 1535, 1359, 1526, 1549, 1518, 1517, 1305, 1541, 1542, 1548, 1525, 1536, 1103, 1505, 1523, 1207, 1506, 1516, 1361, 1290, 1520, 1551, 1528]"
7,"[1539, 1511, 1303, 1060, 1515, 19071, 5017, 5543, 7664, 5559, 11845, 8305, 1213, 6187, 1147, 19070, 19097, 19066, 1222, 19086, 19069, 3532, 2771, 19095, 2078, 12913, 3536, 5523, 11900, 19081, 1070, 6667, 19101, 9247, 5547, 11858, 5484, 19088, 1364, 19092, 5462, 11894, 19065, 8283, 19099, 6499, 6524, 5507, 1203, 19098, 2741, 1170, 1102, 19082, 7039, 5495, 19100, 11449, 7854, 5497, 19084, 5470, 12903, 12638, 11860, 11852, 4649, 19102, 2665, 2018, 1289, 1243, 5545, 1858, 19104, 1091, 6327, 19062, 6368, 19068, 5997, 2753, 6473, 17073, 19078, 7684, 1183, 19103, 19061, 5590, 7632, 19077, 11878, 19089, 12605, 9687, 11458, 19083, 19094, 11884, 1225, 19072, 19063, 12465, 19076]"
8,"[5553, 19080, 9684, 12137, 19093, 5467, 11745, 1125, 6612, 6375, 6333, 19079, 1541, 19067, 11822, 12775, 1606, 19087, 6445, 11816, 19075, 1620, 16261, 3464, 1130, 5578, 5498, 9681, 19090, 1101, 11797, 1103, 1523, 1207, 19091, 19096, 19074, 7662, 19073, 8493, 5476, 19085, 8294, 12902, 6767, 8295, 5515, 7783, 5560, 1208, 5500, 11236, 11437, 6432, 6449, 7904, 5901, 11060, 2115, 11896, 5518, 12891, 5950, 1301, 6026, 19064, 5541, 1060, 11821, 1557, 1147, 1567, 1559, 1556, 1561, 1565, 1555, 1564]"
9,"[1183, 1554, 1563, 1562, 1560, 1558, 1566, 1103, 1207, 1060, 1402, 1596, 1621, 1611, 1612, 1589, 1588, 1147, 1028, 1449, 1586, 1580, 1393, 1571, 1603, 1602, 1405, 1593, 1595, 1574, 1600, 1581, 1320, 1576, 1617, 1584, 1569, 1315, 1572, 1573, 1590, 1599, 1577, 1186, 1183, 1587, 1591, 1578, 1598, 1605, 1615, 1594, 1597, 1582, 1606, 1379, 1575, 1613, 1620, 1616, 1103, 1568, 1608, 1492, 1207, 1453, 1618, 1592, 1609, 1610]"
10,"[1619, 1579, 1398, 1614, 1585, 1601, 1604, 1583, 1607, 1570, 1060, 1402, 1637, 1644]"
