#
# Directed graph - in-degree Distribution. G(35115, 101921). 2604 (0.0742) nodes with in-deg > avg deg (5.8), 1145 (0.0326) with >2*avg.deg (Mon Oct 12 20:30:42 2015)
#
# In-degree	Count (CCDF)
0	35115
1	34115
2	10047
3	5855
4	4110
5	3224
6	2604
7	2180
8	1898
9	1647
10	1444
11	1292
12	1145
13	1038
14	939
15	862
16	795
17	733
18	685
19	635
20	592
21	565
22	532
23	507
24	478
25	455
26	431
27	407
28	386
29	368
30	352
31	330
32	320
33	308
34	296
35	290
36	276
37	268
38	261
39	249
40	245
41	239
42	231
43	224
44	218
45	213
46	206
47	204
48	201
49	198
50	193
51	187
52	179
53	175
54	169
55	166
56	164
57	160
58	159
59	155
60	151
62	148
63	144
64	142
65	138
66	133
67	131
68	128
69	126
70	122
71	119
72	115
73	114
74	113
75	112
77	110
79	106
80	103
81	100
82	96
83	95
85	94
87	93
90	89
99	87
100	86
101	85
102	84
104	83
106	81
108	79
110	77
112	76
113	75
115	74
116	72
119	71
120	70
122	69
126	68
129	66
130	65
131	64
132	63
133	62
134	61
136	59
139	58
140	57
141	55
142	54
144	53
146	52
147	51
148	50
149	49
151	48
154	46
155	45
157	44
158	43
159	40
164	39
167	38
168	37
171	36
172	35
177	34
180	33
184	32
188	31
190	30
196	29
201	28
207	27
211	26
215	25
219	24
233	23
240	22
244	21
253	19
263	18
270	17
275	16
284	15
286	14
302	13
304	12
351	11
403	10
414	9
448	8
498	7
564	6
762	5
800	4
809	3
921	2
989	1
