#
# Directed graph - out-degree Distribution. G(35115, 101921). 992 (0.0283) nodes with out-deg > avg deg (5.8), 976 (0.0278) with >2*avg.deg (Mon Oct 12 20:30:42 2015)
#
# Out-degree	Count (CCDF)
0	35115
1	1000
2	999
3	998
4	996
5	993
6	992
7	991
8	990
9	988
10	982
11	980
12	976
13	970
14	964
15	956
16	953
17	947
18	938
19	935
20	929
21	926
22	920
23	918
24	910
25	899
26	897
27	893
28	891
29	886
30	884
31	879
32	870
33	865
34	861
35	853
36	843
37	837
38	831
39	824
40	819
41	813
42	806
43	803
44	798
45	791
46	788
47	778
48	771
49	763
50	758
51	753
52	743
53	737
54	731
55	720
56	715
57	711
58	704
59	694
60	690
61	685
62	669
63	661
64	655
65	645
66	642
67	636
68	627
69	623
70	612
71	605
72	593
73	587
74	577
75	569
76	563
77	558
78	551
79	544
80	530
81	523
82	509
83	503
84	495
85	490
86	487
87	483
88	470
89	464
90	461
91	452
92	446
93	441
94	437
95	431
96	420
97	415
98	410
99	408
100	401
101	398
102	392
103	385
104	378
105	372
106	367
107	360
108	354
109	350
110	344
111	340
112	334
113	328
114	323
115	319
116	314
117	309
118	305
119	303
120	302
121	297
122	295
123	291
124	289
125	282
126	279
127	274
128	271
129	270
130	268
131	263
132	260
133	255
134	248
135	244
136	241
137	239
138	236
139	234
140	229
141	225
142	222
143	217
144	216
145	214
146	211
147	208
148	207
149	204
150	202
153	199
154	196
155	193
156	189
157	188
158	185
159	184
160	179
161	178
162	173
163	171
164	169
165	168
166	166
167	163
169	160
170	159
171	157
172	155
174	153
175	152
176	150
177	147
179	146
181	145
182	141
183	139
184	137
186	135
187	133
188	131
189	129
190	128
191	126
192	125
193	124
194	122
195	121
196	119
198	118
199	117
200	116
202	115
203	114
207	111
209	110
210	108
211	106
212	104
213	103
214	102
216	99
217	96
218	95
219	94
220	93
221	92
222	88
223	87
224	86
226	85
227	83
228	81
230	78
231	73
232	71
234	70
235	69
236	64
237	63
239	62
240	61
242	60
243	59
244	57
247	56
248	55
252	53
254	51
256	50
257	48
258	45
259	43
262	42
265	41
267	38
268	37
269	36
273	35
275	34
277	33
279	32
280	30
282	28
283	26
284	25
289	24
292	23
296	22
297	21
298	20
299	19
304	18
313	16
314	14
317	13
321	12
322	11
335	10
347	8
351	7
353	6
375	5
381	4
404	3
420	2
423	1
