#
# Undirected graph - degree Distribution. G(35668, 178315). 9795 (0.2746) nodes with in-deg > avg deg (10.0), 2590 (0.0726) with >2*avg.deg (Wed Oct 14 23:02:22 2015)
#
# In-degree	Count (CCDF)
5	35668
6	25453
7	19096
8	14914
9	11926
10	9795
11	8164
12	6874
13	5883
14	5078
15	4435
16	3899
17	3457
18	3126
19	2847
20	2590
21	2363
22	2124
23	1969
24	1804
25	1659
26	1522
27	1403
28	1308
29	1214
30	1131
31	1054
32	998
33	940
34	881
35	834
36	777
37	736
38	698
39	651
40	616
41	589
42	562
43	539
44	515
45	487
46	475
47	460
48	444
49	429
50	413
51	402
52	388
53	371
54	357
55	345
56	333
57	324
58	305
59	301
60	294
61	283
62	274
63	265
64	254
65	244
66	242
67	236
68	232
69	223
70	220
71	215
72	212
73	205
74	199
75	194
76	191
77	186
78	182
79	178
80	175
81	173
82	167
83	164
84	161
85	160
86	157
87	155
88	153
89	148
90	147
91	144
92	142
93	139
94	135
95	131
96	130
97	127
98	124
100	120
101	119
103	117
104	112
105	108
107	107
108	106
110	104
111	100
112	99
114	97
115	96
117	94
119	90
120	89
125	86
126	84
127	82
130	81
132	80
133	79
134	78
135	76
136	75
138	74
139	72
141	71
142	70
143	69
144	68
146	67
147	66
148	64
150	63
151	60
153	59
154	58
156	57
157	56
158	55
165	54
168	53
169	52
170	51
173	50
174	47
177	45
183	44
184	43
185	41
192	40
193	39
198	38
202	36
207	35
215	34
217	33
219	31
222	30
223	29
229	28
233	27
234	26
246	25
247	24
249	23
251	22
257	21
262	19
263	18
267	17
270	16
283	14
286	13
294	12
297	11
301	10
311	9
349	8
360	7
428	6
448	5
471	4
544	3
576	2
751	1
